LIFNR,NAME1,NAME2,ORT01,Land1,REGIO,PSTLZ,TELF1,SMTP_ADDR,KTOKK,ZTERM,INCO1,NACE,NACE_DESC,PERF_SCORE,FIN_STAB,RISC,SupplyRiskScore,ProfitImpactScore,KVADRANT,CREA_DATE,CHANGE_DATE
001000,Rich's,,Default,US,US,00000,,,Z001,NET30,FOB,4610,Distribution,81,81,Medium,0.19,0.87,Leverage,2026-03-19,2026-03-19
001001,Indo Autotech Limited,,Default,US,US,00000,,,Z001,NET30,FOB,2500,Manufacturing,87,86,Low,0.13,0.87,Leverage,2026-03-19,2026-03-19
001002,Cirque du Soleil,,Default,US,US,00000,,,Z001,NET30,FOB,9001,Entertainment,77,72,Medium,0.23,0.5,Tactical,2026-03-19,2026-03-19
001003,Zentis GmbH & Co. KG,,Default,US,US,00000,,,Z001,NET30,FOB,2500,Manufacturing,91,91,Low,0.09,0.64,Leverage,2026-03-19,2026-03-19
001004,Flint Group,,Default,US,US,00000,,,Z001,NET30,FOB,2500,Manufacturing,73,70,Medium,0.27,0.39,Tactical,2026-03-19,2026-03-19
001005,Amazon Business Services US,,Default,US,US,00000,,,Z001,NET30,FOB,4610,Retail/Distribution,83,79,Medium,0.17,0.61,Leverage,2026-03-19,2026-03-19
001006,Fisher Scientific,,Default,US,US,00000,,,Z001,NET30,FOB,2841,Laboratory Equipment,93,89,Low,0.07,0.52,Leverage,2026-03-19,2026-03-19
001007,Merck Life Sciences,,Default,US,US,00000,,,Z001,NET30,FOB,2100,Pharmaceuticals,98,98,Low,0.02,0.62,Leverage,2026-03-19,2026-03-19
001008,Office Depot,,Default,US,US,00000,,,Z001,NET30,FOB,4762,Office Supplies,83,79,Medium,0.17,0.53,Leverage,2026-03-19,2026-03-19
001009,RS Components,,Default,US,US,00000,,,Z001,NET30,FOB,4751,Electronics Distribution,75,71,Medium,0.25,0.32,Tactical,2026-03-19,2026-03-19
001010,Eppendorf,,Default,US,US,00000,,,Z001,NET30,FOB,2841,Laboratory Equipment,94,92,Low,0.06,0.56,Leverage,2026-03-19,2026-03-19
001011,Grainger,,Default,US,US,00000,,,Z001,NET30,FOB,4610,Distribution,83,80,Medium,0.17,0.89,Leverage,2026-03-19,2026-03-19
001012,Qiagen,,Default,US,US,00000,,,Z001,NET30,FOB,2170,Life Sciences,85,82,Low,0.15,0.44,Tactical,2026-03-19,2026-03-19
001013,CDW,,Default,US,US,00000,,,Z001,NET30,FOB,4759,IT Distribution,84,81,Medium,0.16,0.35,Tactical,2026-03-19,2026-03-19
001014,Manutan,,Default,US,US,00000,,,Z001,NET30,FOB,4762,Office Supplies,84,82,Medium,0.16,0.53,Leverage,2026-03-19,2026-03-19
001015,Siemens,,Default,US,US,00000,,,Z001,NET30,FOB,2900,Industrial Manufacturing,95,95,Low,0.05,0.5,Tactical,2026-03-19,2026-03-19
001016,ABB,,Default,US,US,00000,,,Z001,NET30,FOB,2851,Robotics & Automation,89,86,Low,0.11,0.32,Tactical,2026-03-19,2026-03-19
001017,Continuum,,Default,US,US,00000,,,Z001,NET30,FOB,6209,IT Services,86,82,Low,0.14,0.84,Leverage,2026-03-19,2026-03-19
001018,Cisco,,Default,US,US,00000,,,Z001,NET30,FOB,2620,Networking & IT,97,92,Low,0.03,0.47,Tactical,2026-03-19,2026-03-19
001019,Apple,,Default,US,US,00000,,,Z001,NET30,FOB,2620,Electronics & Semiconductors,88,85,Low,0.12,0.41,Tactical,2026-03-19,2026-03-19
001020,Graybar,,Default,US,US,00000,,,Z001,NET30,FOB,4755,Electrical Distribution,72,69,Medium,0.28,0.58,Leverage,2026-03-19,2026-03-19
